englishquestion,answer,image_id
what is to the right of the bag hooks?,shelves,image313
what is on the table?,paper,image887
what is the largest object?,refridgerator,image843
what is on the table?,clothes,image1053
what is on top right of the toilet?,machine,image649
what is on the right side of the door?,curtain,image690
what is on the left side of the decorative item?,door,image1236
how many pictures are visible?,three,image914
what are found on the floor?,clothes,image1177
what are the objects hung close on the hangers?,clothes,image94
what is beneath the curtain?,bottle_of_liquid,image718
what is at the right bottom?,sofa,image1327
what is behind the chair?,table,image1194
what are the object kept close on the shelves?,books,image1040
what is behind the table?,cabinet,image1328
what is the colour of middle candle?,orange,image736
what is on the sofa?,"pillow, paper, book",image1275
what is the colour of the short chair?,blue,image1385
how many sinks are close to the counter?,two,image833
what is to the right side of the cabinet?,bed,image1062
what is on the wall?,"picture, decorative_item",image1420
what is the object close to the counter below the window?,sink,image906
what is on the piano?,picture,image1411
what is on the right side of the bookshelf?,door,image1251
what is at the right side of the photo?,window,image1061
what is the largest object?,sofa,image43
what is on the white and brown table?,bottle_of_liquid,image9
what is the object found on the floor?,floor_mat,image807
how many white objects in this picture?,nine,image2
what is hanged behind the tent?,curtain,image1157
what is the object close to the wall side to the cabinet?,window,image870
what is the object close to the ceiling?,light,image783
how many chair are?,five,image258
what is behind the ornamental plant?,window,image883
what is near the spice stand?,spoon_stand,image128
what is to the left side of the clothing hamper?,toys_basket,image1164
how many monitors in between the cpu?,one,image32
what is the red object close to the wall left of the dustbin?,fire_extinguisher,image1
what is leaning against the wall on the left side of the white cabinet?,ladder,image239
what is the largest object?,bed,image1022
what is on the left side of the curtains?,picture,image1284
what is on the stove burner?,tin_foil,image136
how many boxes are?,four,image106
what is the object on the wall behind the left navy bin?,whiteboard,image28
what is in the hanger?,towel,image716
what is the object on the floor in front of the wall?,table,image1161
how many drawers are visible?,two,image989
what is behind the table?,chair,image1320
what are the things on the table?,"toy, telephone",image1078
what object is in front of the window?,sofa,image981
what is object on the floor close to the counter?,garbage_bin,image112
what is found in the inner room?,cabinet,image1441
what is behind the sofa?,blinds,image1255
what is on the wall?,picture,image942
how many lamps are reflected in the mirror?,one,image1016
what is beneath the flower vase?,clothes,image1439
what is on the left side of the towel?,hanger,image672
what is the object on the floor in front of the wall?,bag,image1093
what is in front of of bookshelf?,chair,image53
what is on the left side of the towels?,toilet,image497
what is on the right side of the tissue roll?,toothpaste,image511
what is opposite to the door?,bed,image1179
what is opposite to the speaker?,table,image602
what color is the bathrobe on the clothing drying rack?,black,image517
what colors are the flower patterns on the pillows?,"orange, pink",image1074
what is found in between the cabinets?,bed,image1147
how many sinks are there?,two,image735
what objects are found below the window?,toy,image1124
what is found to the right side of the bed?,cabinet,image1178
how many chairs are there?,ten,image1381
how many objects on bathtub?,four,image736
what object is found in the cabinet?,bottle,image951
how many red objects are in this picture?,one,image8
what is in front of of the chair?,whiteboard,image41
what object is to the right of the rack?,television,image1300
what is the object found left?,bag,image956
what objects are on the table?,books,image1283
what is the object on the floor in the corner?,plant,image900
what is the colour of the towel?,green,image849
what is the colour of the bed?,white,image1138
how many red objects are on the wall?,one,image30
what are the objects in the shelves?,books,image483
what is on the left side of the dishwasher?,garbage_bin,image826
what are the objects kept on the table?,books,image88
what are the objects on the bed?,"pillow, blanket, bed_sheets",image516
what is the object close to the whiteboard in the corner of the room?,plant,image120
what colour is the wall?,white,image569
what is beneath the keyboard?,clothes,image63
what is at the right side of the bed?,cabinet,image1193
what is on the left side of the pillows?,ornamental_plant,image1189
what is placed on the shelves?,pillow,image233
what is beneath the picture?,toilet,image740
what is behind the tissue box?,paper_holder,image637
what is the object on the towel rod?,towel,image705
what are the things on the cabinet?,"lamp, photo, decorative_item",image1427
what is the largest object?,bed,image1039
what is in front of the window?,cabinet,image1440
what is found in front of the window?,bed,image1114
what is to the left of the wooden table?,container,image496
what is the object close to the counter?,stove,image861
what is on the either side of the pictures?,blinds,image954
what is on beneath the pictures?,piano,image1422
what is on the last shelf?,container,image495
what is left of printer?,mirror,image529
what are the things on the table?,"notebook, decorative_bowl",image1287
how many pink cubes are on the top of the night stand on the left side of the bed?,one,image1163
how many ornamental plants are there?,three,image789
what is found near the garbage bin?,guitar_case,image1203
what is the object close to the counter?,stove,image854
how many candles are there?,two,image1379
what is in front of the fireplace?,decorative_item,image1240
how any chairs are there?,three,image373
what is the colour of the chair?,"blue, red",image1079
what is at the left side?,television,image1268
what is at the right bottom?,chair,image1336
what is the object close to the wall?,whiteboard,image31
what is to the left of the printer?,fax_machine,image409
what is on the window?,blinds,image375
what is in front of the blinds?,ornamental_plant,image1108
how many black chairs are there?,two,image470
what is stuck on the wall?,light_switch,image1403
what color is the table below the black chandelier?,white,image249
what is the object on the floor below the counter?,chair,image670
what is on the wall above the computer?,picture,image438
what is on the right side of the coffee table?,chair,image383
what is inside the sink?,plastic_tub,image130
what is on the wall?,picture,image1322
what is on the right side table?,"television, dvd_player",image920
what is in front of the window?,carton,image800
what is above the table?,chandelier,image767
what objects shadow is on the wall?,decoration_item,image1250
what is in between the lamp and the tissue box?,alarm_clock,image1118
what is at the left side on the table?,lamp,image1305
what is on the left side of the sink?,bottle,image684
what is found to the left side of the cot?,cabinet,image972
how many beds are there?,two,image1117
what is the colour of the blanket?,red,image1141
what is on the paper?,pen,image392
how many monitors are there on the table?,three,image387
what is beneath the candle holder?,decorative_plate,image1438
which object is more?,table,image301
how many shelves are there in the right stand?,three,image101
what is the colour of the drawer?,gray,image978
what is on the cutting board?,knife,image861
what are the objects found on the left side bookshelf?,"toys_basket, photo, books",image1145
how many photos are stuck on the wall?,three,image1176
what is placed on the table?,bowl,image223
what is on the table?,"laptop, mouse, books, calculator",image83
how many squer tables are there?,one,image342
what is the cloth hanging?,towel,image652
what is the colour of the glass on the table?,"blue, white",image815
what is the white object which is in the top middle?,microwave,image867
what is to the opposite of the sofa?,table,image1204
what is the colour of the wall?,blue,image1090
what is at the corner of the window?,printer,image614
what is available near the lamp?,bed,image1024
what is on the stove burner?,plate,image131
what are on the wall on the left side of the green curtain but not behind the garbage bin?,"clock, telephone",image8
what is on the wall?,plant,image465
what is above sink?,mirror,image503
what is in front of the globe?,plastic_tray,image312
what is the round colorful object on the floor?,rug,image316
what is behind the bed?,basket,image1093
what is at the right bottom?,tv_stand,image1316
how many drawers are there?,eight,image792
what is the object above the sink?,mirror,image648
what is behind the lamp?,picture,image1114
what is on the right side of the sink?,tissue_roll,image412
how many laptops are there?,0ne,image376
what is between the white mug and the paper cups on the counter?,ornamental_plant,image124
what is above the towel?,blinds,image693
what is the object on the floor right of the chair?,cabinet,image967
what is leaning on the wall?,bicycle,image1283
what is the object on the floor in the doorway?,toy_chair,image98
what objects are found around the knife rack?,"telephone, chair",image855
what is near the airconditionerg?,vase,image138
what is at top of the table?,tissue_box,image157
what is to the left of the chairs?,cabinet,image1387
how many dark brown chairs are there around the dark brown table?,six,image1408
what is above the stool?,show_piece,image1300
what is on the drawer table?,hat,image1054
what are the things on the cabinet?,books,image1092
what is in front of the kitchen island?,garbage_bin,image123
what is stuck on the top of the sink?,mirror,image663
how many drawers are there?,four,image1251
how many drawers are there?,six,image970
what is the colour of the broom?,yellow,image832
what is above the bathtub?,window,image698
what is beneath the table?,stool,image756
how many books are displayed in the black rack?,six,image87
what is in front of the table?,bag,image626
what is the colour of the towel?,brown,image659
how many blue dustbins are there?,three,image28
how many cupboards are on the wall?,three,image13
what is in front of bathtub?,toilet,image722
what is to the right of the rack on the wall?,light_switch,image1293
what is behind the monitor?,window,image603
what color is the lamp shade base on the night stand on the left side of the bed?,red,image982
how many knobs are there in the oven?,three,image827
how many machines are there?,three,image109
what are stuck on the wall?,photo,image1280
what is on the table?,bowl,image1119
what are the objects on the bed?,"pillow, blanket",image65
what is beneath the blinds?,plastic_tub,image1103
what colour shirt is the man wearing?,white,image545
how many frames are on the wall of the kitchen?,two,image207
what is left side of the sofa?,table,image43
what is the object on the floor left of the counter?,toilet,image503
what is the colour of the wall?,blue,image1057
what is the left bottom?,plant_pot,image1305
what is on the piano?,basket,image1282
what are the objects on the bed?,"pillow, blanket",image1166
what is the colour of the object found on the table?,blue,image849
how many ovens are there?,one,image780
what is on the right side of the electrical kettle?,bottle_of_liquid,image785
what is behind the chair?,door,image1310
what is to the right of the tv stand?,speaker,image169
what is the colour of the screen?,green,image8
how many pictures are stuck around the clock?,five,image13
what is in between the candle sticks and lamp?,banana,image52
what is near the tissue roll?,container,image413
what is behind the flower vase?,curtain,image1388
what is to the left side?,window,image1248
what is on the sofa?,pillow,image151
what is the colour of the symbols on the picture on the wall?,purple,image1062
what are the objects found on the table?,"file, telephone, papers, clothes",image1141
what is left of bed?,papers,image532
what is the colour of the chair?,gray,image890
what color is the armchair on the right side of the door way?,brown,image171
how many pillows are there on the bed?,five,image1094
what color is the light above the door at the end of the room?,pink,image275
what is hung on the wall?,wall_decoration,image1026
what is on the right side of the bottle of liquid?,plate,image835
what color is the file container on the filing cabinet?,white,image552
what is on the table?,papers,image617
what is the object on the wall left and right of the window?,photo,image913
what is found between the sofas?,television,image1232
what is on the shelf?,books,image585
what is on the wall?,"picture, picture",image1423
what object is found below the storage rack?,oven,image827
how many stools are?,two,image263
what is the colour of the oven?,black,image845
what is above the guitar?,toy,image323
what is on the left side of the table?,door,image579
what is on the chair?,guitar_case,image1332
what are stuck on the wall?,photo,image1430
what is the object on the floor left of the room divider?,water_dispenser,image836
what is on the table?,decorative_item,image1321
what is to the left?,tree_sculpture,image168
what is on the wall?,projector_screen,image19
what are on the table cloth?,"newspapers, bowl",image772
what is the object on the table in the corner?,lamp,image1349
what is on the left side of the cupboard?,pillow,image1189
what is found to the left side of the door?,wardrobe,image925
what is on the wall?,picture,image805
what is the object in front of the table?,chair,image4
what is at the right side of the bed?,cabinet,image1052
what is kept on the floor to the left side of the light switch?,picture,image1030
what is found on the cabinet?,computer,image1150
what is found at the bottom left corner?,chair,image1059
what is on the table?,"book, carton, bottle",image1373
what is on the wall?,picture,image1167
what is the object close to the counter?,stove,image877
what is kept on the table cloth?,newspapers,image773
what are the objects on the shelves?,books,image646
what is behind the chandelier?,blinds,image783
what is the object on the floor in front of the sofa?,table,image601
what is the white object on the while wall?,paper_rack,image10
how many black chairs are there?,three,image1440
what is in front of the sofa?,table,image1331
what is to the right of the printer?,plastic_box,image409
what is the colour of the sink top?,white,image695
what are the things on the cabinet?,"lamp, telephone",image1188
what are around the table?,chair,image1387
what is in the wall?,picture,image292
what is the colour of the wall?,pink,image1077
what object is found on the left side?,electric_mixer,image855
what is on the chair?,bag,image984
what is behind the table?,shelves,image286
what is at the left of the cabinet?,bed,image1123
what is the object close to the wall?,poster_board,image992
what are the objects found near the table?,chair,image801
what are found on the sink?,"toy, vase",image666
what is in front of the bed?,chair,image418
what is to the right of the chairs inside the room?,door,image1255
what is the colour of the telephone?,black,image27
what is inside the container?,"sticks, rope",image496
what is the object on the floor in front of the wall?,bed,image1040
what is on the wall?,papers,image305
what objects are found on the table?,"lamp, photo, toy",image1233
what is the colour of the pillow?,brown,image1222
what is the light brown object on the left side of the cup shelf in front of the wall?,ladder,image239
what is the object on the floor right of the bed?,stool,image1147
what is the object on the floor close to the room divider?,floor_mat,image683
what is present under the slide on the floor?,box,image1039
what is the colour of the floor mat?,red,image351
how many small pillows are on the bed?,three,image938
what is to the opposite of the sofa?,table,image1234
what is beneath the laptop table?,garbage_bin,image376
what is the colour of toaster oven?,black,image205
what are the objects close to the counter?,"sink, faucet",image143
what is above the table?,curtain,image929
what are stuck on the wall?,"photo, decorative_item",image1321
what is found below the photo?,sofa,image1265
what is in front of the shelf?,paper_rack,image315
how many kitchen stools are in front of the kitchen counter?,two,image432
what is at the bottom left corner?,bed,image1093
what is on the bed?,"pillow, clothes",image1046
what is beneath the shelf?,carton,image502
what is on the door of the wardrobe on the left side of the blinds?,mirror,image441
what is right of the refridgerator?,microwave,image253
what is in front of the white computer?,telephone,image390
what is on the chair?,pillow,image1215
what is found at the left corner of the kitchen cabinet?,sink,image902
what is the object close to the tissue rod?,tissue,image724
what is near the wall divider?,container,image1410
what is on the left side of the monitor?,carton,image818
what is under the painting?,sofa,image43
what is the object close to the counter?,sink,image677
what color is the bookshelf in front of wall?,brown,image80
what is the big black object next to the books?,television,image1251
what is to the left of the sofa?,cabinet,image1254
what is at the left side?,bed,image1151
what is the colour of the floor tile?,white,image760
what object is found near the sink?,bottle_of_hand_wash_liquid,image856
what is the object below the counter?,cabinet,image833
how many towels are hanged?,three,image693
what are the objects on the mantel?,"candlestick, candle",image1380
what is the object on the counter below the cabinet?,coffee_machine,image751
how many pillows are there?,three,image1174
how many bottles are there?,two,image812
how many cupboards are there?,four,image749
what is on the left side of the the night stand?,garbage_bin,image997
what color is the paper holder on the right side of the water spray bottle?,black,image22
how many lamps are on in this picture?,one,image187
how many candlesticks are on the shelf of the fireplace?,two,image1380
what is on the left side of the toilet?,garbage_bin,image680
what is the object on the floor right of the bed?,garbage_bin,image928
what is on the comforter?,pillow,image998
what is below the frames?,sofa,image51
what color is the cabinet above the kitchen counter?,brown,image577
what color are the cabinets?,brown,image138
what is on the table?,"book, remote_control",image1227
what are the colours of the sheets on the bed?,"brown, gray",image1107
what is the colour of the pillars?,white,image112
what is kept close on the second shelf on the rack?,paper_holder,image25
what is the object on the hanger?,bag,image115
what is on the table?,"monitor, machine, paper, keyboard",image470
what is on the left side of the red colour light?,tissue_roll,image521
how many ovens are there?,two,image793
what is on table?,vase,image266
what at the centre of the table?,remote_control,image640
what are the things found on the cabinet?,"sink, bowl, plant, kitchen_utensils",image898
what are found inside the sink?,knife,image891
what is in front of the black wall on the right side of the projector screen?,monitor,image7
what is above the tap?,blinds,image834
what is on the top of the cabinet?,mirror,image1426
how many drawer handles are there?,twelve,image814
what is the object close to the wall behind the table?,picture,image1373
what in on the table?,candelabra,image1381
how many switches on wall?,two,image734
how many lamps are on the shelf?,three,image343
what are the objects found on the cabinet?,"bottle, toy, papers, wire",image1068
what is present on top of the bed in the wall?,window,image1014
what is on the right side of the door?,television,image1316
what is on the right side of the tap?,cup,image653
how many electric toothbrushes are there?,three,image509
what is stuck on the refridgerator?,"picture, papers",image773
how many chairs are there?,four,image879
how many chairs are there?,six,image550
what is the red object on the white wall behind the garbage bin?,fire_extinguisher,image8
what is on the wall?,spot_light,image1394
what are the objects on the table?,"cleaner, monitor, dvd_player",image63
what is in front of the bed?,foot_rest,image1075
what is the largest object?,sofa,image1241
what is on the right side?,cabinet,image1381
what is stuck on the door?,mirror,image1155
what is in front of the lamp?,picture,image1235
what is to the right of the bed?,lamp,image978
how many short chairs are there?,two,image1385
what is on the right side of the toilet?,sink,image503
what is on the wall?,"paper, picture",image1062
what is at the left side of the bed?,table,image1190
what is the object close to the ceiling?,light,image1415
what is on the left most side?,crib,image944
how many drawer knobs are there?,ten,image697
what is the colour of the chart to the left of the tree?,yellow,image306
what is on the bed?,clothes,image1007
what is the object on the stool?,lamp,image982
what is the object on the on the wall above the sink?,mirror,image721
how many cpu are there?,two,image29
what is on the wall?,picture,image863
what are stuck on the refridgerator?,papers,image815
what is under the sink?,garbage_bin,image408
how many pictures are there?,three,image1432
what is the object on the floor behind the table?,sofa,image601
how many pictures are on the wall?,three,image150
what is near the bottle of liquid?,jug,image135
what color is the lamp shade on the cabinet?,white,image612
what is present near the window on its front?,table,image1023
what is the colour of the screen?,green,image8
what objects are found below the storage rack?,"tea_kettle, container",image858
what is the object close to the wall behind the table?,switchbox,image29
what is the object on the floor in front of the room divider?,bathtub,image739
how many lamps are there on the table?,two,image466
what is the largest object on the floor?,sofa,image644
what colour is the shirt in hanger behind the coffee table?,"pink, gray",image118
what is left of chair?,basket,image581
what is found in between the beds?,lamp,image1117
what is the object close to the counter?,sink,image699
what is the object on the table?,tissue_box,image1337
what color is the desk drawer on the left side of the dresser?,white,image63
what is on the right side of the night stand?,cables,image1033
what is on the left side of the chair?,blinds,image781
what is above the sofa?,window,image282
what is the object found in the floor on left side?,horse_toy,image1128
what is the largest object?,chair,image536
what is the colour of wall?,white,image297
how many knobs does the oven have?,five,image569
what is the colour of the brick?,white,image327
what is found in front of the window?,sink,image825
what is the colour of the chair seat?,red,image1415
what are the objects that are placed close inside the pen stand?,"pen, pencil, scale",image11
what is hanging from the drawer?,clothes,image1037
what is on the sofa?,pillow,image1267
what is on the bed?,pillow,image909
what is behind the chair on the right side?,guitar,image1294
how many drawers are open?,one,image448
what is found in the right middle?,fireplace,image1245
what is under the shelf of the table?,books,image112
what are stuck on the wall?,photo,image1076
what is on the shelf?,books,image299
what is on the table?,decorative_item,image626
what is the colour of the chairs?,blue,image1240
what is the colour of the lamp?,"black, white",image978
what is the colour of the curtain?,purple,image1341
what color is the counter?,"white, brown",image124
how many knobs are there?,eight,image808
what is hanged before the window?,curtain,image1379
what color is the piano?,brown,image1387
what is the colour of the chair?,"blue, yellow",image1391
what is the largest object?,refridgerator,image125
how many knobs are there?,four,image1358
what is the colour of the object behind the faucet?,red,image679
what is the object attached close to the ceiling?,projector,image19
what is near the cabinet?,door_way,image1343
what is on the night stand apart from the lamp?,book,image983
what is the black colour object on the cabinet?,bag,image1130
what is to the right side of the wash basin?,"plant, bottle_of_hand_wash_liquid",image766
what is the largest object?,table,image5
what is on the right side of the monitor?,telephone,image93
what are stuck on the wall?,photo,image1173
what are the things on the cabinet?,candlestick,image1395
how many lamps are there?,four,image186
what is the colour of the sofa?,black,image1187
what are the things on the cabinet?,"lamp, toy",image1180
what is the object on the dark brown table?,bottle_of_soap,image21
what is the object on the floor in the corner?,lamp,image148
what is to right of door?,toilet,image724
what is behind the chair?,door,image639
what is the colour of the chair?,blue,image1380
what is on the beneath the white bag?,laundry_basket,image1068
how many wooden stands are?,one,image6
what is the object above the sink close to the wall?,mirror,image657
what is the colour of the towel?,white,image664
how many objects are there on the wall?,one,image58
what is hanging on the rod below the sink?,towel,image663
what are the objects on the shelf?,books,image990
what is stuck on the wall?,photo,image1253
what is placed on the table?,utensil,image228
what is above sink?,mirror,image510
what is the largest object on the desk?,monitor,image1262
what is next to the bowl in the last shelf?,candle,image1296
what is found to the right side of the bed?,window,image1141
what is around the table?,chair,image1394
what is behind the chair?,"decorative_item, lamp",image1226
what color are the stars on the pillow?,purple,image928
what is right of sink?,toothbrush,image510
what is the object on the side table?,lamp,image76
what color are the shutters?,red,image40
what is the object close to the counter?,stove,image905
what is on the blinds?,curtain,image1113
what is in front of the piano?,piano_bench,image1281
how many lights are placed in the wall?,three,image6
what are the things on the table?,"cup, paper",image1260
what is beneath the books?,tissue_roll,image701
what is present on the wall near the door?,light_switch,image1020
how many pictures are there on the wall?,five,image917
what are the objects on the front table?,"coffee_packet, cup",image121
what is on the left side of the bed?,night_stand,image938
what is to the left of the bookshelf?,toy_house,image1220
how many blue chairs are there around the round table?,four,image322
what is above the flush tank?,book,image689
what is on the left side of the microwave?,bottle,image570
what is the object below the counter in front of the cabinet?,dishwasher,image896
what is near the window?,window,image397
how many chairs are there?,one,image1040
what is the object close to the wall above the cabinet?,mirror,image923
how many pillows are visible in the picture?,four,image1339
what is the large object on the white wall behind the white candles?,mirror,image52
